ethnicity,first_name,last_name
African,Cedric,Allen
African,Cedric,Baker
African,Cedric,Carter
African,Cedric,Gaines
African,Cedric,Green
African,Cedric,Harris
African,Cedric,Jackson
African,Cedric,Jefferson
African,Cedric,King
African,Cedric,Mitchell
African,Cedric,Robinson
African,Cedric,Scott
African,Cedric,Taylor
African,Cedric,Walker
African,Cedric,Washington
African,Cedric,White
African,Cedric,Wright
African,Cedric,Young
African,Darnell,Allen
African,Darnell,Baker
African,Darnell,Carter
African,Darnell,Gaines
African,Darnell,Green
African,Darnell,Harris
African,Darnell,Jackson
African,Darnell,Jefferson
African,Darnell,King
African,Darnell,Mitchell
African,Darnell,Robinson
African,Darnell,Scott
African,Darnell,Taylor
African,Darnell,Walker
African,Darnell,Washington
African,Darnell,White
African,Darnell,Wright
African,Darnell,Young
African,Deshawn,Allen
African,Deshawn,Baker
African,Deshawn,Carter
African,Deshawn,Gaines
African,Deshawn,Green
African,Deshawn,Harris
African,Deshawn,Jackson
African,Deshawn,Jefferson
African,Deshawn,King
African,Deshawn,Mitchell
African,Deshawn,Robinson
African,Deshawn,Scott
African,Deshawn,Taylor
African,Deshawn,Walker
African,Deshawn,Washington
African,Deshawn,White
African,Deshawn,Wright
African,Deshawn,Young
African,Jamal,Allen
African,Jamal,Baker
African,Jamal,Carter
African,Jamal,Gaines
African,Jamal,Green
African,Jamal,Harris
African,Jamal,Jackson
African,Jamal,Jefferson
African,Jamal,King
African,Jamal,Mitchell
African,Jamal,Robinson
African,Jamal,Scott
African,Jamal,Taylor
African,Jamal,Walker
African,Jamal,Washington
African,Jamal,White
African,Jamal,Wright
African,Jamal,Young
African,Jermaine,Allen
African,Jermaine,Baker
African,Jermaine,Carter
African,Jermaine,Gaines
African,Jermaine,Green
African,Jermaine,Harris
African,Jermaine,Jackson
African,Jermaine,Jefferson
African,Jermaine,King
African,Jermaine,Mitchell
African,Jermaine,Robinson
African,Jermaine,Scott
African,Jermaine,Taylor
African,Jermaine,Walker
African,Jermaine,Washington
African,Jermaine,White
African,Jermaine,Wright
African,Jermaine,Young
African,Leroy,Allen
African,Leroy,Baker
African,Leroy,Carter
