team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
WAS,Coyotes,Washington,WAS,North,Coyotes Stadium,#F26060,#60F2F2,
PHI,Pirates,Philadelphia,PHI,North,Pirates Stadium,#608BF2,#F2C760,
IND,Dolphins,Indianapolis,IND,North,Dolphins Stadium,#B5F260,#9D60F2,
SAN,Giants,San Antonio,SAN,North,Giants Stadium,#F260E0,#60F273,
BOS,Bulls,Boston,BOS,North,Bulls Stadium,#60F2D9,#F26079,
SAN1,Royals,San Jose,SAN1,South,Royals Stadium,#F2AF60,#60A3F2,
PHO,Wildcats,Phoenix,PHO,South,Wildcats Stadium,#8560F2,#CEF260,
CHI,Mariners,Chicago,CHI,South,Mariners Stadium,#67F260,#EC60F2,
OKL,Rockets,Oklahoma City,OKL,South,Rockets Stadium,#F26091,#60F2C1,
DET,Kings,Detroit,DET,South,Kings Stadium,#60BBF2,#F29760,
ELP,Warriors,El Paso,ELP,East,Warriors Stadium,#E6F260,#6C60F2,
MIL,Lions,Milwaukee,MIL,East,Lions Stadium,#D360F2,#7FF260,
ALB,Chargers,Albuquerque,ALB,East,Chargers Stadium,#60F2A9,#F260A9,
HOU,Sharks,Houston,HOU,East,Sharks Stadium,#F27E60,#60D4F2,
JAC,Rangers,Jacksonville,JAC,East,Rangers Stadium,#606DF2,#F2E560,
POR,Hawks,Portland,POR,West,Hawks Stadium,#97F260,#BB60F2,
LOU,Jets,Louisville,LOU,West,Jets Stadium,#F260C2,#60F291,
SAN2,Tigers,San Francisco,SAN2,West,Tigers Stadium,#60ECF2,#F26660,
FOR,Panthers,Fort Worth,FOR,West,Panthers Stadium,#F2CD60,#6085F2,
NAS,Thunder,Nashville,NAS,West,Thunder Stadium,#A360F2,#AFF260,
