ParkID,Venue,StartYear,EndYear,Park Factor,Run Factor,HR Factor,1B Factor,2B Factor,3B Factor,H Factor
MIL06,American Family Field,2022,2024,115.2,99.0,115.2,91.1,95.1,101.7,95.3
ANA01,Angel Stadium of Anaheim,2022,2024,113.1,102.0,113.1,99.2,90.9,107.3,99.5
STL10,Busch Stadium III,2022,2024,91.4,99.4,91.4,103.3,95.9,89.0,99.8
PHO01,Chase Field,2022,2024,77.0,99.4,77.0,106.6,110.4,145.7,103.5
NYC20,Citi Field,2022,2024,99.1,93.5,99.1,92.0,89.0,81.2,92.1
PHI13,Citizens Bank Park,2022,2024,114.2,102.2,114.2,95.5,93.5,102.5,97.6
DET05,Comerica Park,2022,2024,91.4,102.5,91.4,101.6,98.5,134.8,100.2
DEN02,Coors Field,2022,2024,115.4,124.8,115.4,112.9,117.1,172.9,114.8
LOS03,Dodger Stadium,2022,2024,115.9,96.7,115.9,94.3,93.6,65.4,96.6
MEX02,Estadio Alfredo Harp Helu,2023,2024,214.0,161.5,214.0,103.9,120.7,185.1,124.1
BOS07,Fenway Park,2022,2024,96.5,107.7,96.5,106.6,116.2,176.4,107.4
DYE01,Field of Dreams,2022,2022,0.0,69.8,0.0,123.4,125.2,0.0,106.5
ARL03,Globe Life Field,2022,2024,120.5,102.6,120.5,94.0,101.3,110.6,98.9
SEO01,Gocheok Sky Dome,2024,2024,36.3,159.1,36.3,150.6,75.4,129.1,120.2
CIN09,Great American Ballpark,2022,2024,130.9,108.3,130.9,102.2,98.8,58.6,104.0
CHI12,Guarantee Rate Park,2022,2024,104.9,99.7,104.9,102.0,93.4,71.9,99.7
WIL02,Journey Bank Ballpark at Historic Bowman Field,2022,2024,43.5,79.8,43.5,107.2,82.0,0.0,92.0
KAN06,Kauffman Stadium,2022,2024,88.2,108.1,88.2,106.5,121.1,153.0,107.5
MIA02,loanDepot Park,2022,2024,97.6,110.0,97.6,105.3,110.5,111.4,105.4
HOU03,Minute Maid Park,2022,2024,109.5,101.0,109.5,98.7,102.1,111.9,100.6
WAS11,Nationals Park,2022,2024,104.8,100.1,104.8,97.7,99.5,89.6,98.4
NYC21,New Yankee Stadium,2022,2024,116.3,100.7,116.3,94.2,97.5,79.2,97.7
OAK01,Oakland-Alameda County Coliseum,2022,2024,76.0,93.8,76.0,98.7,100.7,107.5,95.8
SFO03,Oracle Park,2022,2024,77.1,91.3,77.1,103.5,105.0,126.0,100.2
BAL12,Oriole Park at Camden Yards,2022,2024,90.3,94.2,90.3,110.5,87.4,107.3,102.3
SAN02,Petco Park,2022,2024,111.7,90.4,111.7,93.9,92.0,60.7,94.6
PIT08,PNC Park,2022,2024,89.7,104.7,89.7,106.3,108.7,82.4,103.6
CLE08,Progressive Field,2022,2024,93.8,98.7,93.8,99.2,105.5,73.8,99.2
LON01,Queen Elizabeth Olympic Park's London Stadium,2023,2024,60.4,108.0,60.4,120.3,111.5,0.0,107.9
BIR01,Rickwood Field,2024,2024,92.9,136.4,92.9,108.3,128.1,0.0,108.3
TOR02,Rogers Centre,2022,2024,103.4,99.0,103.4,95.2,105.4,64.8,97.7
SEA03,T-Mobile Park,2022,2024,92.6,87.4,92.6,93.4,85.6,58.7,91.0
MIN04,Target Field,2022,2024,101.0,99.7,101.0,99.8,113.9,89.6,102.2
STP01,Tropicana Field,2022,2024,101.5,97.7,101.5,92.5,96.8,128.7,95.0
ATL03,Truist Park,2022,2024,93.6,98.1,93.6,104.8,95.1,109.6,101.2
CHI11,Wrigley Field,2022,2024,91.3,91.5,91.3,101.3,87.9,121.4,97.4
