Year,Role,Num_Pitchers,IP,ERA,WHIP,K%,BB%,HR/9,SV,HLD
2020,Closer,24.0,524.6666666666666,2.968659466327827,1.12074332909784,28.919340050217908,8.756999592803352,0.7547649301143584,224,37
2020,Middle,512.0,6218.333333333334,5.069961940498523,1.4646957920128654,22.657801357211884,10.51497285696183,1.447333154650228,156,502
2020,Setup,48.0,1070.0,3.3731962616822426,1.1433457943925234,28.312658409710007,8.311863313290244,1.0514018691588785,37,370
2020,Starter,150.0,7655.666666666666,4.205248835285409,1.2559415683371793,23.502926594834857,7.836100047446165,1.3343057430225975,5,7
2021,Closer,25.0,1606.6666666666667,2.947508298755186,1.123701244813278,30.500453398953105,9.20728774573614,0.9578838174273858,649,97
2021,Middle,688.0,17875.333333333332,4.6779959348077425,1.386797448998621,22.440872214533076,9.786012719529024,1.3241711110282326,457,1539
2021,Setup,43.0,2615.666666666667,3.237766025232573,1.1757104625971708,25.69993733187707,9.542715279362417,0.884286988658086,76,831
2021,Starter,152.0,20517.333333333336,4.139438198596309,1.2472363205094874,23.26950178328839,7.370373149216146,1.2659539901221732,9,23
2022,Closer,24.0,1491.3333333333335,2.7460996870809122,1.0768149307107737,30.942465768902366,9.000606727105088,0.7362539114886009,631,111
2022,Middle,645.0,17080.0,4.469757806401253,1.3614945355191248,21.441004961967447,9.164831981389248,1.1819086651053865,450,1411
2022,Setup,50.0,3054.3333333333335,3.002706537160318,1.1374593473753138,26.914209416581773,8.284454974623896,0.75139146567718,144,993
2022,Starter,151.0,21449.666666666664,3.7917364683211865,1.2212460178091349,22.296512985590493,7.09253556403,1.0888281092169263,7,7
2023,Closer,25.0,1524.9999999999998,2.938765027322404,1.1418819672131146,29.728499691029977,9.254650238990639,0.8321311475409836,730,70
2023,Middle,651.0,18458.0,4.747262433633119,1.3904155379781122,21.86764746532101,9.319769278362504,1.2735941055368947,396,1565
2023,Setup,42.0,2655.3333333333335,3.1055761988450907,1.1882387647501882,26.056585396188094,8.57118275001891,0.8032889781571679,109,909
2023,Starter,145.0,20449.0,4.220222504767958,1.2763649404208846,22.869315432344077,7.70284253325511,1.2666634065235465,6,16
2024,Closer,28.0,1656.6666666666667,3.188557344064386,1.1157987927565391,27.773816154786015,8.891301304617064,0.8909456740442655,740,93
2024,Middle,632.0,17437.0,4.442485328133662,1.3479342776853818,21.81087575782627,8.972580766983704,1.1824855192980444,389,1526
2024,Setup,45.0,2767.333333333333,3.209707299445916,1.1215514333895449,26.27445845416729,7.8439507183088075,0.8293182365695013,88,965
2024,Starter,150.0,21255.333333333336,3.963250791958098,1.2368789009817145,22.597443421706245,7.366950250154311,1.161449675375592,8,19
2020-2024 AVG,Closer,25.2,6804.333333333333,2.957917964710143,1.115788052918309,29.572915012777873,9.022169121850457,0.8343958961231188,2974,408
2020-2024 AVG,Middle,625.6,77068.66666666667,4.68149268869486,1.390267518438821,22.043640351371938,9.551633520645263,1.281898511123757,1848,6543
2020-2024 AVG,Setup,45.6,12162.666666666668,3.185790464473228,1.1532611605009482,26.651569801704845,8.510833407120854,0.8639375076441628,454,4068
2020-2024 AVG,Starter,149.6,91327.0,4.063979359785792,1.2475335496116802,22.90714004355281,7.473760308820346,1.223440184852167,35,72
